time; video bitrate Kbps; audio bitrate Kbps; throttle bitrate (Kbps); id; video seconds
2023-01-25 21:58:03.000; 2200; 320; 2000; 00043; 156.33156
2023-01-25 21:58:05.000; 2200; 320; 2000; 00043; 158.888979
2023-01-25 21:58:07.000; 2200; 320; 2000; 00044; 160.422925
2023-01-25 21:58:09.000; 2200; 320; 2000; 00044; 162.978662
2023-01-25 21:58:11.000; 2200; 320; 2000; 00045; 164.511905
2023-01-25 21:58:14.000; 2200; 320; 2000; 00045; 167.069583
2023-01-25 21:58:15.000; 2200; 320; 2000; 00046; 168.600593
2023-01-25 21:58:18.000; 2200; 320; 2000; 00046; 171.668669
2023-01-25 21:58:18.000; 2200; 320; 2000; 00047; 172.692953
2023-01-25 21:58:19.000; 600; 320; 2000; 00047; 173.204409
2023-01-25 21:58:21.000; 600; 320; 2000; 00047; 174.73385
2023-01-25 21:58:22.000; 600; 320; 2000; 00048; 176.268893
2023-01-25 21:58:24.000; 600; 320; 1000; 00048; 178.314556
2023-01-25 21:58:26.000; 600; 320; 1000; 00049; 180.360136
2023-01-25 21:58:28.000; 600; 320; 1000; 00049; 181.910794
2023-01-25 21:58:30.000; 1500; 320; 1000; 00048; 184.467314
2023-01-25 21:58:36.000; 1000; 320; 1000; 00049; 189.071555
2023-01-25 21:58:38.000; 600; 320; 1000; 00050; 191.62848
2023-01-25 21:58:40.000; 600; 320; 1000; 00051; 194.18519
2023-01-25 21:58:41.000; 600; 320; 1000; 00051; 194.18519
2023-01-25 21:58:43.000; 600; 320; 1000; 00052; 196.744052
2023-01-25 21:58:43.000; 600; 320; 1000; 00052; 196.744052
2023-01-25 21:58:46.000; 600; 320; 1000; 00052; 199.812747
2023-01-25 21:58:46.000; 600; 320; 1000; 00053; 199.812747
2023-01-25 21:58:49.000; 600; 320; 1000; 00054; 202.881051
2023-01-25 21:58:50.000; 600; 320; 1000; 00054; 203.392123
2023-01-25 21:58:53.000; 600; 320; 1000; 00055; 206.974642
2023-01-25 21:58:53.000; 600; 320; 1000; 00055; 206.974642
2023-01-25 21:59:01.000; 300; 320; 400; 00056; 214.133504
2023-01-25 21:59:01.000; 300; 256; 400; 00056; 214.64603
2023-01-25 21:59:06.000; 300; 256; 400; 00057; 219.247458
2023-01-25 21:59:06.000; 300; 192; 400; 00057; 219.759517
2023-01-25 21:59:09.000; 300; 192; 400; 00058; 222.315816
2023-01-25 21:59:09.000; 300; 192; 400; 00058; 222.829401
2023-01-25 21:59:13.000; 300; 192; 400; 00059; 226.91927
2023-01-25 21:59:14.000; 300; 64; 400; 00059; 227.429312
2023-01-25 21:59:17.000; 300; 64; 400; 00060; 230.498522
2023-01-25 21:59:17.000; 300; 128; 400; 00060; 231.010784
2023-01-25 21:59:21.000; 300; 128; 400; 00061; 234.589774
2023-01-25 21:59:21.000; 300; 128; 400; 00061; 234.589774
2023-01-25 21:59:24.000; 300; 128; 1200; 00062; 238.175627
2023-01-25 21:59:25.000; 300; 128; 1200; 00062; 238.697867
2023-01-25 21:59:26.000; 300; 128; 1200; 00063; 239.720046
2023-01-25 21:59:26.000; 300; 128; 1200; 00063; 239.720046
2023-01-25 21:59:28.000; 300; 128; 1200; 00064; 241.254763
2023-01-25 21:59:28.000; 300; 128; 1200; 00064; 241.766101
2023-01-25 21:59:29.000; 300; 128; 1200; 00064; 243.300773
2023-01-25 21:59:31.000; 300; 128; 1200; 00065; 244.323747
2023-01-25 21:59:32.000; 300; 320; 1200; 00065; 245.346896
2023-01-25 21:59:33.000; 300; 320; 1200; 00065; 246.368931
2023-01-25 21:59:34.000; 300; 320; 1200; 00065; 247.392007
2023-01-25 21:59:34.000; 600; 320; 1200; 00064; 247.90333
2023-01-25 21:59:35.000; 600; 320; 1200; 00064; 248.928939
2023-01-25 21:59:38.000; 600; 320; 1200; 00065; 251.484818
2023-01-25 21:59:39.000; 600; 320; 1200; 00066; 253.019506
2023-01-25 21:59:41.000; 600; 320; 1200; 00067; 255.064794
2023-01-25 21:59:42.000; 600; 320; 1200; 00067; 255.064794
2023-01-25 21:59:44.000; 600; 320; 1200; 00068; 257.621887
2023-01-25 21:59:44.000; 600; 320; 1200; 00068; 257.621887
2023-01-25 21:59:46.000; 600; 320; 1200; 00068; 260.181819
2023-01-25 21:59:47.000; 600; 320; 1200; 00069; 260.181819
2023-01-25 21:59:49.000; 600; 320; 1200; 00069; 263.24785
2023-01-25 21:59:51.000; 600; 320; 1200; 00070; 264.271562
2023-01-25 21:59:53.000; 600; 320; 1200; 00070; 267.340341
2023-01-25 21:59:55.000; 600; 320; 1200; 00071; 268.363094
2023-01-25 21:59:57.000; 600; 320; 1200; 00071; 270.408155
2023-01-25 21:59:59.000; 600; 320; 1200; 00072; 272.454616
2023-01-25 22:00:00.000; 600; 320; 1200; 00072; 273.990737
2023-01-25 22:00:03.000; 600; 320; 1200; 00073; 276.544455
2023-01-25 22:00:04.000; 600; 320; 1200; 00073; 278.079499
2023-01-25 22:00:07.000; 1000; 320; 1200; 00072; 280.631919
2023-01-25 22:00:09.000; 1000; 320; 1200; 00073; 283.188914
2023-01-25 22:00:12.000; 600; 320; 1200; 00074; 285.234977
2023-01-25 22:00:13.000; 600; 320; 1200; 00075; 286.770306
2023-01-25 22:00:13.000; 600; 320; 1200; 00075; 286.770306
2023-01-25 22:00:16.000; 600; 320; 1200; 00076; 289.837039
2023-01-25 22:00:16.000; 600; 320; 1200; 00076; 289.837039
2023-01-25 22:00:19.000; 600; 320; 1200; 00077; 292.395713
2023-01-25 22:00:19.000; 600; 320; 1200; 00077; 292.395713
2023-01-25 22:00:21.000; 600; 320; 1200; 00077; 295.461766
2023-01-25 22:00:23.000; 600; 320; 1200; 00078; 296.485605
2023-01-25 22:00:26.000; 600; 320; 200; 00079; 300.079717
2023-01-25 22:00:27.000; 600; 320; 200; 00079; 300.079717
2023-01-25 22:00:27.000; 300; 320; 200; 00079; 301.102923
2023-01-25 22:00:38.000; 300; 320; 200; 00080; 311.331559
2023-01-25 22:00:38.000; 300; 320; 200; 00080; 311.331559
2023-01-25 22:00:40.000; 300; 64; 200; 00080; 313.379099
2023-01-25 22:00:42.000; 300; 64; 200; 00080; 315.801757
2023-01-25 22:00:45.000; 300; 64; 200; 00080; 315.801757
2023-01-25 22:00:47.000; 300; 64; 200; 00080; 315.801757
2023-01-25 22:00:50.000; 300; 64; 200; 00080; 315.861889
